prompt,overlap,unique_orig,unique_llm,num_orig,num_llm
EM_13,85.0,16.0,1379.0,101.0,1464.0
EM_21a,53.0,4.0,1352.0,57.0,1405.0
EM_21b,91.0,16.0,1158.0,107.0,1249.0
EM_26,76.0,19.0,1541.0,95.0,1617.0
EM_27b,97.0,19.0,1390.0,116.0,1487.0
EM_33b,86.0,8.0,1210.0,94.0,1296.0
EM_35,93.0,20.0,1248.0,113.0,1341.0
EM_43b,100.0,44.0,1603.0,144.0,1703.0
EM_45b,84.0,16.0,1618.0,100.0,1702.0
EM_45c,97.0,22.0,1434.0,119.0,1531.0
EM_46,101.0,30.0,1241.0,131.0,1342.0
EM_47,115.0,24.0,1478.0,139.0,1593.0
FN_17a,52.0,6.0,1060.0,58.0,1112.0
FN_17c,81.0,27.0,1163.0,108.0,1244.0
FN_19b,97.0,41.0,1335.0,138.0,1432.0
FN_20a,148.0,85.0,1311.0,233.0,1459.0
FN_20b,110.0,31.0,1249.0,141.0,1359.0
FN_27a,103.0,17.0,986.0,120.0,1089.0
FN_27b,69.0,7.0,998.0,76.0,1067.0
II_20b,88.0,17.0,1315.0,105.0,1403.0
II_24b,95.0,29.0,1489.0,124.0,1584.0
II_38,87.0,14.0,1094.0,101.0,1181.0
LF_13a,101.0,31.0,1272.0,132.0,1373.0
LF_13b,102.0,22.0,1355.0,124.0,1457.0
LF_18a,127.0,29.0,1313.0,156.0,1440.0
LF_26a2,122.0,40.0,1192.0,162.0,1314.0
LF_31b,108.0,47.0,1367.0,155.0,1475.0
LF_39,127.0,32.0,1605.0,159.0,1732.0
LP_15c,90.0,10.0,1196.0,100.0,1286.0
ME_27b,56.0,6.0,1436.0,62.0,1492.0
ME_30,112.0,23.0,1013.0,135.0,1125.0
ME_36,118.0,21.0,1080.0,139.0,1198.0
ME_5b,95.0,8.0,1342.0,103.0,1437.0
ME_73,99.0,15.0,1161.0,114.0,1260.0
MS_30b,72.0,13.0,1339.0,85.0,1411.0
MS_39,121.0,20.0,1286.0,141.0,1407.0
MS_43a,78.0,13.0,1017.0,91.0,1095.0
MS_43b,80.0,10.0,1246.0,90.0,1326.0
MS_50a,23.0,6.0,1003.0,29.0,1026.0
MS_50b,82.0,22.0,1434.0,104.0,1516.0
MS_64a,76.0,8.0,1014.0,84.0,1090.0
MX_1,111.0,17.0,1286.0,128.0,1397.0
MX_10,95.0,9.0,1323.0,104.0,1418.0
MX_16a,115.0,21.0,891.0,136.0,1006.0
MX_18,86.0,22.0,1307.0,108.0,1393.0
MX_19,121.0,16.0,1117.0,137.0,1238.0
MX_22a,96.0,19.0,1326.0,115.0,1422.0
MX_24,103.0,14.0,1260.0,117.0,1363.0
MX_36a,103.0,11.0,1409.0,114.0,1512.0
MX_36b,83.0,10.0,1244.0,93.0,1327.0
MX_41,108.0,22.0,1095.0,130.0,1203.0
MX_42a,109.0,13.0,1259.0,122.0,1368.0
MX_47b,119.0,15.0,1039.0,134.0,1158.0
MX_53,128.0,22.0,1430.0,150.0,1558.0
PS_12,102.0,22.0,1276.0,124.0,1378.0
PS_24a,151.0,40.0,1122.0,191.0,1273.0
PS_26p,95.0,9.0,1422.0,104.0,1517.0
PS_2a,96.0,25.0,1295.0,121.0,1391.0
PS_2b,68.0,13.0,1374.0,81.0,1442.0
PS_44,78.0,18.0,991.0,96.0,1069.0
PS_45b,156.0,38.0,1174.0,194.0,1330.0
PS_46b,86.0,20.0,1786.0,106.0,1872.0
PS_4ap,48.0,0.0,1252.0,48.0,1300.0
PS_4bp,48.0,4.0,1115.0,52.0,1163.0
PS_51a,81.0,13.0,1145.0,94.0,1226.0
PS_51b,78.0,10.0,1235.0,88.0,1313.0
SE_10,136.0,24.0,1163.0,160.0,1299.0
SE_27b,132.0,31.0,1368.0,163.0,1500.0
SE_44,140.0,36.0,1411.0,176.0,1551.0
SE_45,133.0,20.0,1038.0,153.0,1171.0
SE_46,134.0,32.0,1034.0,166.0,1168.0
SE_47b,108.0,8.0,1454.0,116.0,1562.0
SE_48,128.0,33.0,1059.0,161.0,1187.0
SE_4a,74.0,21.0,1444.0,95.0,1518.0
ST_31b,73.0,12.0,1473.0,85.0,1546.0
ST_52a,81.0,14.0,1426.0,95.0,1507.0
ST_58,63.0,12.0,1045.0,75.0,1108.0
ST_59,85.0,17.0,1333.0,102.0,1418.0
VB_1,70.0,16.0,1454.0,86.0,1524.0
VB_12d,90.0,17.0,1138.0,107.0,1228.0
VB_15a,58.0,14.0,1121.0,72.0,1179.0
VB_15b,114.0,21.0,1017.0,135.0,1131.0
VB_15c,110.0,15.0,1023.0,125.0,1133.0
VB_29,95.0,26.0,1175.0,121.0,1270.0
mean,96.25,20.0,1258.0,116.25,1354.25
